bit_index,grid_row,grid_col,pixel_y,pixel_x,sample_value,threshold,bit
248,11,18,55,984,15.0,30.19415839130547,0
249,11,19,55,1036,14.0,30.19415839130547,0
250,11,20,55,1088,9.0,30.19415839130547,0
251,11,21,55,1140,8.0,30.19415839130547,0
252,11,22,55,1192,7.0,30.19415839130547,0
253,12,0,60,48,13.0,30.19415839130547,0
254,12,1,60,100,12.0,30.19415839130547,0
255,12,2,60,152,13.0,30.19415839130547,0
256,12,3,60,204,14.0,30.19415839130547,0
257,12,4,60,256,16.0,30.19415839130547,0
258,12,5,60,308,17.0,30.19415839130547,0
259,12,6,60,360,22.0,30.19415839130547,0
260,12,7,60,412,27.0,30.19415839130547,0
261,12,8,60,464,29.0,30.19415839130547,0
262,12,9,60,516,33.0,30.19415839130547,1
263,12,10,60,568,34.0,30.19415839130547,1
264,12,11,60,620,33.0,30.19415839130547,1
265,12,12,60,672,30.0,30.19415839130547,0
266,12,13,60,724,28.0,30.19415839130547,0
267,12,14,60,776,26.0,30.19415839130547,0
268,12,15,60,828,21.0,30.19415839130547,0
269,12,16,60,880,18.0,30.19415839130547,0
270,12,17,60,932,15.0,30.19415839130547,0
271,12,18,60,984,15.0,30.19415839130547,0
272,12,19,60,1036,13.0,30.19415839130547,0
273,12,20,60,1088,10.0,30.19415839130547,0
274,12,21,60,1140,8.0,30.19415839130547,0
275,12,22,60,1192,7.0,30.19415839130547,0
276,13,0,65,48,14.0,30.19415839130547,0
277,13,1,65,100,12.0,30.19415839130547,0
278,13,2,65,152,15.0,30.19415839130547,0
279,13,3,65,204,14.0,30.19415839130547,0
280,13,4,65,256,16.0,30.19415839130547,0
281,13,5,65,308,17.0,30.19415839130547,0
282,13,6,65,360,23.0,30.19415839130547,0
283,13,7,65,412,29.0,30.19415839130547,0
284,13,8,65,464,33.0,30.19415839130547,1
285,13,9,65,516,34.0,30.19415839130547,1
286,13,10,65,568,39.0,30.19415839130547,1
287,13,11,65,620,36.0,30.19415839130547,1
288,13,12,65,672,35.0,30.19415839130547,1
289,13,13,65,724,30.0,30.19415839130547,0
290,13,14,65,776,28.0,30.19415839130547,0
291,13,15,65,828,24.0,30.19415839130547,0
292,13,16,65,880,20.0,30.19415839130547,0
293,13,17,65,932,24.0,30.19415839130547,0
294,13,18,65,984,16.0,30.19415839130547,0
295,13,19,65,1036,18.0,30.19415839130547,0
296,13,20,65,1088,11.0,30.19415839130547,0
297,13,21,65,1140,9.0,30.19415839130547,0
298,13,22,65,1192,7.0,30.19415839130547,0
299,14,0,70,48,48.0,30.19415839130547,1
300,14,1,70,100,12.0,30.19415839130547,0
301,14,2,70,152,44.0,30.19415839130547,1
302,14,3,70,204,14.0,30.19415839130547,0
303,14,4,70,256,24.0,30.19415839130547,0
304,14,5,70,308,17.0,30.19415839130547,0
305,14,6,70,360,28.0,30.19415839130547,0
306,14,7,70,412,32.0,30.19415839130547,1
307,14,8,70,464,62.0,30.19415839130547,1
308,14,9,70,516,38.0,30.19415839130547,1
309,14,10,70,568,84.0,30.19415839130547,1
310,14,11,70,620,50.0,30.19415839130547,1
311,14,12,70,672,82.0,30.19415839130547,1
312,14,13,70,724,59.0,30.19415839130547,1
313,14,14,70,776,72.0,30.19415839130547,1
314,14,15,70,828,68.0,30.19415839130547,1
315,14,16,70,880,43.0,30.19415839130547,1
316,14,17,70,932,69.0,30.19415839130547,1
317,14,18,70,984,29.0,30.19415839130547,0
318,14,19,70,1036,50.0,30.19415839130547,1
319,14,20,70,1088,17.0,30.19415839130547,0
320,14,21,70,1140,21.0,30.19415839130547,0
321,14,22,70,1192,12.0,30.19415839130547,0
322,15,0,75,48,60.0,30.19415839130547,1
323,15,1,75,100,13.0,30.19415839130547,0
324,15,2,75,152,60.0,30.19415839130547,1
325,15,3,75,204,15.0,30.19415839130547,0
326,15,4,75,256,36.0,30.19415839130547,1
327,15,5,75,308,20.0,30.19415839130547,0
328,15,6,75,360,31.0,30.19415839130547,1
329,15,7,75,412,34.0,30.19415839130547,1
330,15,8,75,464,65.0,30.19415839130547,1
331,15,9,75,516,55.0,30.19415839130547,1
332,15,10,75,568,71.0,30.19415839130547,1
333,15,11,75,620,51.0,30.19415839130547,1
334,15,12,75,672,42.0,30.19415839130547,1
335,15,13,75,724,44.0,30.19415839130547,1
336,15,14,75,776,81.0,30.19415839130547,1
337,15,15,75,828,45.0,30.19415839130547,1
338,15,16,75,880,52.0,30.19415839130547,1
339,15,17,75,932,62.0,30.19415839130547,1
340,15,18,75,984,29.0,30.19415839130547,0
341,15,19,75,1036,24.0,30.19415839130547,0
342,15,20,75,1088,34.0,30.19415839130547,1
343,15,21,75,1140,24.0,30.19415839130547,0
344,15,22,75,1192,24.0,30.19415839130547,0
345,16,0,80,48,43.0,30.19415839130547,1
346,16,1,80,100,13.0,30.19415839130547,0
347,16,2,80,152,20.0,30.19415839130547,0
348,16,3,80,204,15.0,30.19415839130547,0
349,16,4,80,256,23.0,30.19415839130547,0
350,16,5,80,308,20.0,30.19415839130547,0
351,16,6,80,360,27.0,30.19415839130547,0
352,16,7,80,412,32.0,30.19415839130547,1
353,16,8,80,464,40.0,30.19415839130547,1
354,16,9,80,516,37.0,30.19415839130547,1
355,16,10,80,568,76.0,30.19415839130547,1
356,16,11,80,620,40.0,30.19415839130547,1
357,16,12,80,672,58.0,30.19415839130547,1
358,16,13,80,724,64.0,30.19415839130547,1
359,16,14,80,776,66.0,30.19415839130547,1
360,16,15,80,828,73.0,30.19415839130547,1
361,16,16,80,880,37.0,30.19415839130547,1
362,16,17,80,932,40.0,30.19415839130547,1
363,16,18,80,984,18.0,30.19415839130547,0
364,16,19,80,1036,43.0,30.19415839130547,1
365,16,20,80,1088,17.0,30.19415839130547,0
366,16,21,80,1140,20.0,30.19415839130547,0
367,16,22,80,1192,11.0,30.19415839130547,0
368,17,0,85,48,14.0,30.19415839130547,0
369,17,1,85,100,13.0,30.19415839130547,0
370,17,2,85,152,14.0,30.19415839130547,0
371,17,3,85,204,15.0,30.19415839130547,0
372,17,4,85,256,17.0,30.19415839130547,0
373,17,5,85,308,21.0,30.19415839130547,0
374,17,6,85,360,26.0,30.19415839130547,0
375,17,7,85,412,32.0,30.19415839130547,1
376,17,8,85,464,32.0,30.19415839130547,1
377,17,9,85,516,35.0,30.19415839130547,1
378,17,10,85,568,38.0,30.19415839130547,1
379,17,11,85,620,36.0,30.19415839130547,1
380,17,12,85,672,35.0,30.19415839130547,1
381,17,13,85,724,31.0,30.19415839130547,1
382,17,14,85,776,28.0,30.19415839130547,0
383,17,15,85,828,29.0,30.19415839130547,0
384,17,16,85,880,23.0,30.19415839130547,0
385,17,17,85,932,17.0,30.19415839130547,0
386,17,18,85,984,14.0,30.19415839130547,0
387,17,19,85,1036,14.0,30.19415839130547,0
388,17,20,85,1088,12.0,30.19415839130547,0
389,17,21,85,1140,11.0,30.19415839130547,0
390,17,22,85,1192,8.0,30.19415839130547,0
391,18,0,90,48,13.0,30.19415839130547,0
392,18,1,90,100,13.0,30.19415839130547,0
393,18,2,90,152,14.0,30.19415839130547,0
394,18,3,90,204,15.0,30.19415839130547,0
395,18,4,90,256,17.0,30.19415839130547,0
396,18,5,90,308,21.0,30.19415839130547,0
