row,col,bit
34,26,0
34,27,1
34,28,1
34,29,1
34,30,1
34,31,1
34,32,1
34,33,0
34,34,1
34,35,0
34,36,0
34,37,0
34,38,0
34,39,0
34,40,1
34,41,0
34,42,0
34,43,blank
34,44,0
34,45,0
34,46,0
34,47,0
34,48,0
35,0,0
35,1,0
35,2,0
35,3,0
35,4,0
35,5,0
35,6,0
35,7,0
35,8,0
35,9,0
35,10,1
35,11,1
35,12,0
35,13,0
35,14,blank
35,15,blank
35,16,1
35,17,1
35,18,0
35,19,1
35,20,overlay
35,21,1
35,22,overlay
35,23,1
35,24,overlay
35,25,1
35,26,1
35,27,1
35,28,1
35,29,1
35,30,1
35,31,1
35,32,1
35,33,0
35,34,1
35,35,0
35,36,0
35,37,0
35,38,0
35,39,0
35,40,1
35,41,1
35,42,1
35,43,0
35,44,0
35,45,0
35,46,0
35,47,0
35,48,0
36,0,0
36,1,0
36,2,0
36,3,0
36,4,0
36,5,0
36,6,0
36,7,0
36,8,0
36,9,0
36,10,1
36,11,1
36,12,1
36,13,1
36,14,1
36,15,1
36,16,1
36,17,1
36,18,0
36,19,1
36,20,overlay
36,21,1
36,22,0
36,23,1
36,24,0
36,25,1
36,26,1
36,27,1
36,28,1
36,29,1
36,30,1
36,31,1
36,32,1
36,33,0
36,34,1
36,35,0
36,36,0
36,37,0
36,38,0
36,39,0
36,40,0
36,41,1
36,42,1
36,43,0
36,44,0
36,45,0
36,46,0
36,47,0
36,48,0
37,0,0
37,1,0
37,2,0
37,3,0
37,4,0
37,5,0
37,6,0
37,7,0
37,8,0
37,9,0
37,10,0
37,11,0
37,12,1
37,13,1
37,14,1
37,15,1
37,16,1
37,17,1
37,18,overlay
37,19,1
37,20,overlay
37,21,1
37,22,0
37,23,1
37,24,0
37,25,1
37,26,1
37,27,1
37,28,1
37,29,1
37,30,1
37,31,1
37,32,1
37,33,0
37,34,1
37,35,0
37,36,1
37,37,0
37,38,0
37,39,0
37,40,0
37,41,1
37,42,1
37,43,0
37,44,0
37,45,0
37,46,0
37,47,0
37,48,0
38,0,0
38,1,0
38,2,0
38,3,0
38,4,0
38,5,0
38,6,0
38,7,0
38,8,0
38,9,0
38,10,1
38,11,1
38,12,1
38,13,1
38,14,1
38,15,1
38,16,1
38,17,1
38,18,overlay
38,19,1
38,20,overlay
38,21,1
38,22,0
38,23,1
38,24,0
38,25,1
38,26,1
38,27,1
38,28,1
38,29,1
38,30,1
38,31,1
38,32,1
38,33,0
38,34,1
38,35,0
38,36,1
38,37,0
38,38,blank
38,39,0
38,40,1
38,41,0
38,42,0
38,43,1
38,44,0
38,45,0
38,46,0
38,47,0
38,48,0
39,0,0
39,1,0
39,2,0
39,3,0
39,4,0
39,5,0
39,6,0
39,7,0
39,8,0
39,9,0
39,10,1
39,11,1
39,12,1
39,13,1
39,14,1
39,15,1
39,16,1
39,17,1
39,18,overlay
39,19,1
39,20,overlay
39,21,1
39,22,0
39,23,1
39,24,0
39,25,1
39,26,1
39,27,1
39,28,1
39,29,blank
39,30,blank
39,31,1
39,32,1
39,33,0
39,34,1
39,35,0
39,36,1
39,37,0
39,38,1
39,39,0
39,40,1
39,41,blank
39,42,1
39,43,blank
39,44,0
39,45,0
39,46,0
39,47,0
39,48,0
40,0,0
40,1,0
40,2,0
40,3,0
40,4,0
40,5,0
40,6,0
40,7,0
40,8,0
40,9,0
40,10,1
40,11,1
40,12,1
40,13,1
40,14,1
40,15,1
40,16,1
40,17,1
40,18,0
40,19,1
40,20,overlay
40,21,1
40,22,0
40,23,1
40,24,0
40,25,1
40,26,1
40,27,1
40,28,1
40,29,1
40,30,1
40,31,1
40,32,1
40,33,0
40,34,1
40,35,0
40,36,1
